country_code,region_code,name_slug,name,name_normalized,osm_relation_id,wikidata_id,is_capital,lon,lat
br,pb,cajazeiras,Cajazeiras,Cajazeiras,301395,Q1808637,,-38.56053037,-6.8904645
br,pb,cajazeirinhas,Cajazeirinhas,Cajazeirinhas,301337,Q1808910,,-37.79918433,-6.962692813
br,pb,caldas-brandao,Caldas Brandão,Caldas Brandao,301340,Q1808745,,-35.34238209,-7.171751437
br,pb,camalau,Camalaú,Camalau,301428,Q1816125,,-36.83161058,-7.891242095
br,pb,campina-grande,Campina Grande,Campina Grande,301462,Q193016,,-35.88385911,-7.22149704
br,pb,capim,Capim,Capim,301289,Q1808017,,-35.16773871,-6.910844375
br,pb,caraubas,Caraúbas,Caraubas,301399,Q284134,,-36.49547807,-7.731099372
br,pb,carrapateira,Carrapateira,Carrapateira,301350,Q749757,,-38.34421673,-7.039654242
br,pb,casserengue,Casserengue,Casserengue,301275,Q1816259,,-35.81630483,-6.783760326
br,pb,catingueira,Catingueira,Catingueira,301460,Q1816295,,-37.6107199,-7.125209784
br,pb,catole-do-rocha,Catolé do Rocha,Catole do Rocha,301411,Q1808697,,-37.74850009,-6.346752995
br,pb,caturite,Caturité,Caturite,301465,Q1815927,,-36.02065882,-7.419618321
br,pb,conceicao,Conceição,Conceicao,301299,Q2010944,,-38.50915796,-7.560225087
br,pb,condado,Condado,Condado,301279,Q635267,,-37.60397133,-6.912306777
br,pb,conde,Conde,Conde,301285,Q1999780,,-34.90715134,-7.263571827
br,pb,congo,Congo,Congo,301276,Q2009615,,-36.66153286,-7.792570778
br,pb,coremas,Coremas,Coremas,301366,Q1843416,,-37.94553728,-7.016918284
br,pb,coxixola,Coxixola,Coxixola,301376,Q2009254,,-36.60482952,-7.628796961
br,pb,cruz-do-espirito-santo,Cruz do Espírito Santo,Cruz do Espirito Santo,301351,Q512810,,-35.09148913,-7.141336962
br,pb,cubati,Cubati,Cubati,301267,Q2009277,,-36.34792972,-6.862360609
